번호,종목코드,종목명,시장구분,최초지정일,해제일,상장일,업종,액면가,상장주식수
"1","079650","서산","KOSDAQ","2026/07/10","-","2005/01/21","비금속","100","20000000"
"2","372800","아이티아이즈","KOSDAQ","2026/07/08","-","2021/11/11","IT 서비스","500","7037189"
"3","013360","일성건설","KOSPI","2026/07/07","-","1989/12/02","건설","500","54024880"
"4","092590","럭스피아","KONEX","2026/07/06","-","2015/10/30","-","500","7291098"
"5","002990","금호건설","KOSPI","2026/07/01","-","1976/06/26","건설","5000","37259974"
"6","228340","동양파일","KOSDAQ","2026/07/01","-","2016/04/06","비금속","500","20000000"
"7","065170","비엘팜텍","KOSDAQ","2026/07/01","-","2002/11/19","유통","500","27913793"
"8","270520","앱튼","KOSDAQ","2026/07/01","-","2017/08/22","일반서비스","1000","19658914"
"9","064850","에프앤가이드","KOSDAQ","2026/07/01","-","2020/12/17","IT 서비스","500","11410332"
"10","127120","제이에스링크","KOSDAQ","2026/07/01","-","2011/12/26","일반서비스","500","34741382"
"11","002995","금호건설우","KOSPI","2026/06/30","-","1988/10/06","건설","5000","292266"
"12","001210","금호전기","KOSPI","2026/06/30","-","1973/11/15","전기·전자","500","61880083"
"13","091590","남화토건","KOSDAQ","2026/06/30","-","2012/01/31","건설","500","11740000"
"14","122350","삼기","KOSDAQ","2026/06/30","-","2010/03/19","운송장비·부품","100","38339428"
"15","458870","씨어스","KOSDAQ","2026/06/30","-","2024/06/19","의료·정밀기기","500","38059740"